*************************************************************************************
Hours	 Load_Level	Ploss(kW)	Qloss(kVAr)	Bus_No		Vmin
*************************************************************************************
 1	0.475700	42.464070	28.280985	18		0.960367
 2	0.447300	37.399191	24.906330	18		0.962813
 3	0.426000	33.823829	22.524305	18		0.964640
 4	0.418900	32.674232	21.758440	18		0.965248
 5	0.418900	32.674232	21.758440	18		0.965248
 6	0.426000	33.823829	22.524305	18		0.964640
 7	0.525400	52.158113	34.740796	18		0.956061
 8	0.610600	71.294867	47.495763	18		0.948599
 9	0.674500	87.797551	58.497780	18		0.942934
10	0.681600	89.747652	59.798027	18		0.942301
11	0.681600	89.747652	59.798027	18		0.942301
12	0.674500	87.797551	58.497780	18		0.942934
13	0.674500	87.797551	58.497780	18		0.942934
14	0.674500	87.797551	58.497780	18		0.942934
15	0.660300	83.967762	55.944325	18		0.944198
16	0.667400	85.870947	57.213230	18		0.943567
17	0.702900	95.739707	63.793478	18		0.940397
18	0.710000	97.784569	65.157042	18		0.939761
19	0.710000	97.784569	65.157042	18		0.939761
20	0.681600	89.747652	59.798027	18		0.942301
21	0.646100	80.231347	53.453246	18		0.945459
22	0.589300	66.207431	44.104558	18		0.950474
23	0.518300	50.707869	33.774334	18		0.956678
24	0.447300	37.399191	24.906330	18		0.962813
25	0.396900	29.245107	19.474049	18		0.967127
26	0.390600	28.299988	18.844463	18		0.967663
27	0.378000	26.458698	17.617935	18		0.968736
28	0.365400	24.682388	16.434738	18		0.969806
29	0.371700	25.562442	17.020935	18		0.969271
30	0.409500	31.184511	20.766009	18		0.966051
31	0.453600	38.493254	25.635263	18		0.962271
32	0.535500	54.259015	36.140905	18		0.955182
33	0.598500	68.379749	45.552561	18		0.949665
34	0.623700	74.525642	49.649469	18		0.947443
35	0.630000	76.107175	50.703788	18		0.946886
36	0.623700	74.525642	49.649469	18		0.947443
37	0.585900	65.414232	43.575845	18		0.950773
38	0.579600	63.958154	42.605302	18		0.951326
39	0.567000	61.099109	40.699676	18		0.952430
40	0.554400	58.310550	38.841107	18		0.953533
41	0.567000	61.099109	40.699676	18		0.952430
42	0.579600	63.958154	42.605302	18		0.951326
43	0.604800	69.889289	46.558802	18		0.949110
44	0.617400	72.962184	48.607221	18		0.947999
45	0.604800	69.889289	46.558802	18		0.949110
46	0.567000	61.099109	40.699676	18		0.952430
47	0.504000	47.853377	31.872126	18		0.957919
48	0.441000	36.321855	24.188556	18		0.963354
49	0.640000	78.654787	52.402185	18		0.946000
50	0.600000	68.737540	45.791059	18		0.949533
51	0.580000	64.050076	42.666571	18		0.951291
52	0.560000	59.541233	39.661345	18		0.953043
53	0.560000	59.541233	39.661345	18		0.953043
54	0.580000	64.050076	42.666571	18		0.951291
55	0.640000	78.654787	52.402185	18		0.946000
56	0.760000	112.865988	75.214697	18		0.935259
57	0.870000	150.356302	100.223795	18		0.925217
58	0.950000	181.493358	121.001860	18		0.917790
59	0.990000	198.332052	132.240981	18		0.914035
60	1.000000	202.676991	135.141319	18		0.913092
61	0.990000	198.332052	132.240981	18		0.914035
62	1.000000	202.676991	135.141319	18		0.913092
63	1.000000	202.676991	135.141319	18		0.913092
64	0.970000	189.805050	126.549353	18		0.915916
65	0.960000	185.622429	123.757684	18		0.916853
66	0.960000	185.622429	123.757684	18		0.916853
67	0.930000	173.394776	115.597009	18		0.919657
68	0.920000	169.424726	112.947616	18		0.920588
69	0.920000	169.424726	112.947616	18		0.920588
70	0.930000	173.394776	115.597009	18		0.919657
71	0.870000	150.356302	100.223795	18		0.925217
72	0.720000	100.705189	67.104638	18		0.938864
73	0.371700	25.562442	17.020935	18		0.969271
74	0.365800	24.737784	16.471636	18		0.969772
75	0.354000	23.130959	15.401371	18		0.970772
76	0.342200	21.580558	14.368726	18		0.971771
77	0.348100	22.348723	14.880357	18		0.971272
78	0.383500	27.254424	18.147982	18		0.968268
79	0.424800	33.628054	22.393878	18		0.964743
80	0.501500	47.363425	31.545635	18		0.958136
81	0.560500	59.651790	39.735031	18		0.952999
82	0.584100	64.996398	43.297338	18		0.950931
83	0.590000	66.371380	44.213840	18		0.950413
84	0.584100	64.996398	43.297338	18		0.950931
85	0.548700	57.072109	38.015713	18		0.954030
86	0.542800	55.805284	37.171418	18		0.954545
87	0.531000	53.317464	35.513420	18		0.955574
88	0.519200	50.890489	33.896033	18		0.956600
89	0.531000	53.317464	35.513420	18		0.955574
90	0.542800	55.805284	37.171418	18		0.954545
91	0.566400	60.964725	40.610107	18		0.952483
92	0.578200	63.636989	42.391233	18		0.951449
93	0.566400	60.964725	40.610107	18		0.952483
94	0.531000	53.317464	35.513420	18		0.955574
95	0.472000	41.784805	27.828383	18		0.960686
96	0.413000	31.734904	21.132670	18		0.965752
*************************************************************************************
