1	0.4757
2	0.4473
3	0.4260
4	0.4189
5	0.4189
6	0.4260
7	0.5254
8	0.6106
9	0.6745
10	0.6816
11	0.6816
12	0.6745
13	0.6745
14	0.6745
15	0.6603
16	0.6674
17	0.7029
18	0.7100
19	0.7100
20	0.6816
21	0.6461
22	0.5893
23	0.5183
24	0.4473
25  	0.3969
26	0.3906
27	0.3780 
28  	0.3654
29	0.3717
30  	0.4095
31  	0.4536
32  	0.5355
33  	0.5985
34  	0.6237
35  	0.6300
36  	0.6237
37  	0.5859
38  	0.5796
39  	0.5670
40  	0.5544
41  	0.5670
42  	0.5796
43  	0.6048
44  	0.6174
45  	0.6048
46  	0.5670
47  	0.5040
48  	0.4410  
49  	0.6400
50  	0.6000
51  	0.5800
52  	0.5600
53  	0.5600
54  	0.5800
55  	0.6400
56  	0.7600
57  	0.8700
58  	0.9500
59  	0.9900
60  	1.0000
61  	0.9900
62  	1.0000
63  	1.0000
64  	0.9700
65  	0.9600
66  	0.9600
67  	0.9300
68  	0.9200
69  	0.9200
70  	0.9300
71  	0.8700
72  	0.7200
73  	0.3717
74  	0.3658
75  	0.3540
76  	0.3422
77  	0.3481
78  	0.3835
79  	0.4248
80  	0.5015
81  	0.5605
82  	0.5841
83  	0.5900
84  	0.5841
85  	0.5487
86  	0.5428
87  	0.5310
88  	0.5192
89  	0.5310
90  	0.5428
91  	0.5664
92  	0.5782
93  	0.5664
94  	0.5310
95  	0.4720
96  	0.4130
